var,coef,word frequency
vulnerable,-0.333613379,108
marginalised,-0.181624853,219
backgrounds,0.391692722,426
researched,-0.001183681,34
revealing,-0.383007051,21
anxiety,0.182888453,75
rising,0.506407981,45
along,-0.119847459,140
cost,-0.046734534,127
essential,0.238483565,65
better,0.469073316,193
exposure,-0.630410905,51
participatory,0.030238409,358
techniques,-0.61322924,170
summer,-0.346157541,218
including,-0.641287867,970
acting,-0.164159619,79
technique,0.385019215,34
design,-0.471306883,580
shakespeare,0.031120356,68
musical,-0.168101258,646
playwriting,-0.002444252,41
circus,-0.269642126,200
am,0.126610466,234
dual,-0.258053618,16
rap,0.159311729,39
sunderland,-0.109439819,41
white,0.693408721,120
demographic,-0.154039456,62
black,0.157963202,748
origin,0.314372072,17
showcased,0.524977818,75
receiving,-0.594746697,61
bursary,-0.083072284,26
idea,0.326032568,86
down,0.323119848,134
street,0.26296173,281
wish,-0.693426861,113
r,-0.015521099,48
d,0.112805659,66
libretto,0.048019456,23
partnership,0.373763748,599
david,0.166715306,54
small,-0.160168254,282
specially,-0.745224848,50
weave,0.721918931,18
lives,-0.18926098,221
characters,-0.321765007,201
either,0.165762404,47
via,-0.10929556,740
spoken,0.749191534,227
word,-0.257695639,254
whose,-0.206392262,112
decisions,-0.225698412,15
impact,0.118499905,459
residents,0.23289268,300
consequences,0.467898222,19
incorporates,-0.726640689,25
mainly,0.966761631,54
queer,0.170657067,700
hearts,0.639200955,12
much,0.177983103,132
exhibiting,0.05898546,45
charity,0.173077474,202
service,0.351818982,120
users,-0.792773796,96
message,-0.175192944,66
dedicated,0.367934998,124
displayed,0.421741456,61
respective,0.357457686,11
digitally,0.257068277,99
archived,0.871661009,16
afterwards,0.293491088,13
exchange,0.95824626,167
trip,0.809190094,24
fringe,-0.23483646,145
close,0.024529909,67
project;,0.045648084,18
educating,0.162554123,16
inspiring,0.128939898,148
forging,0.129087869,26
among,-0.352749761,42
dialogue,-0.372578052,138
locations,-0.822220933,192
introduce,-0.049616613,110
his,-0.024066787,400
island,-0.194171862,45
unique,0.076691794,413
celebration,0.369556972,197
kitchen,0.07372178,16
table,0.331408477,31
factory,-1.006665949,43
floor,-0.023385627,39
commissioning,0.360768032,118
international,0.162790849,720
weekend,0.299662371,112
celebratory,0.415659721,63
steam,0.160226143,23
food,-0.107986723,160
diverse,-0.212247253,1349
expanded,0.092659572,51
9,-0.221391736,226
exhibitions,0.055485192,322
practitioner,-0.356283009,49
makers,0.035782004,171
called,-0.51196786,81
total,-1.263278963,90
talk,0.091224907,134
